CA Number,ID,Collection,Site,context,tomb,material,Ware?,vessel form,pXRF,3D scanned object,Raman Spectroscopy,SEM-EDS
CA230440,CVUS_596b,Union del Sur,Site 8 - Catambuco,,,ceramic ,Piartal,fragment,Yes,No,No,No
CA230441,CVUS_364a,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T1,ceramic ,Capulí,fragment,Yes,No,No,No
CA230442,CVUS_364b,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T1,ceramic ,Capulí,fragment,Yes,No,No,No
CA230444,CVUS_385,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T2,ceramic ,Capulí,fragment,Yes,No,No,No
CA230445,CVUS_386,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T2,ceramic ,Capulí,fragment,Yes,No,No,No
CA230446,CVUS_388a,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T2,ceramic ,Capulí,fragment,Yes,No,No,No
CA230447,CVUS_388b,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T2,ceramic ,Capulí,fragment,Yes,No,No,No
CA230450,CVUS_404,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T4,ceramic ,Capulí,fragment,Yes,No,No,No
CA230451,CVUS_405,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T4,ceramic ,Capulí,fragment,Yes,No,No,No
CA230452,CVUS_421,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T5,ceramic ,Capulí,fragment,Yes,No,No,No
CA230453,CVUS_422,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T5,ceramic ,Capulí,fragment,Yes,No,No,No
CA230454,CVUS_429,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T6,ceramic ,Capulí,fragment,Yes,No,No,No
CA230455,CVUS_430,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T6,ceramic ,Capulí,fragment,Yes,No,No,No
CA230456,CVUS_431,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T7,ceramic ,Capulí,fragment,Yes,No,No,No
CA230457,CVUS_435,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T7,ceramic ,Capulí,fragment,Yes,No,No,No
CA230458,CVUS_440,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T8,ceramic ,Capulí,fragment,Yes,No,No,No
CA230459,CVUS_441a,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T8,ceramic ,Capulí,fragment,Yes,No,No,No
CA230460,CVUS_441b,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T8,ceramic ,Capulí,fragment,Yes,No,No,No
CA230461,CVUS_441c,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T8,ceramic ,Capulí,fragment,Yes,No,No,No
CA230334,C12941,Museo del Oro,Colombia ,donacion Área Cultural Cúcuta,,ceramic ,Capulí,copa,Yes,Yes,No,No
CA230335,C14003,Museo del Oro,Colombia - ,"Desconocido"" Herederos del legado Ramos-Esteban /Rodrigo Lozano (apoderado)",,ceramic ,Tuza ,copa,Yes,Yes,No,No
CA230336,C14000,Museo del Oro,Colombia - Desconocido ,Herederos del legado Ramos-Esteban /Rodrigo Lozano (apoderado),,ceramic ,Piartal,copa,Yes,Yes,No,No
CA230337,C05519,Museo del Oro,Nariño (Colombia) ,Compra a Ángel Peña,,ceramic ,Piartal,copa,Yes,Yes,No,No
CA230338,C13983,Museo del Oro,Colombia ,Herederos del legado Ramos-Esteban /Rodrigo Lozano (apoderado),,ceramic ,Piartal,copa,Yes,Yes,No,No
CA230339,C13992,Museo del Oro,Colombia ,Herederos del legado Ramos-Esteban /Rodrigo Lozano (apoderado),,ceramic ,Piartal,copa,Yes,Yes,No,No
CA230340,C12934,Museo del Oro,Colombia ,donacion Área Cultural Cúcuta,,ceramic ,Capulí,copa,Yes,Yes,No,No
CA230341,C06213,Museo del Oro,"Pupiales (Colombia, Nariño) ",compra a R.P. Adolfo  Filippi,,ceramic ,Tuza,copa,Yes,Yes,No,No
CA230342,C06217,Museo del Oro,?,,,ceramic ,Tuza,copa,Yes,No,No,No
CA230343,C05533,Museo del Oro,Nariño (Colombia) ,Compra a Ángel Peña,,ceramic ,Tuza,copa,Yes,Yes,No,No
CA230344,C05531,Museo del Oro,Nariño (Colombia) ,Compra a Ángel Peña,,ceramic ,Tuza,copa,Yes,Yes,No,No
CA230345,C14001,Museo del Oro,Colombia ,Herederos del legado Ramos-Esteban /Rodrigo Lozano (apoderado),,ceramic ,Tuza,copa,Yes,Yes,No,No
CA230346,C06211,Museo del Oro,"Pupiales (Colombia, Nariño) ",compra a R.P. Adolfo  Filippi,,ceramic ,Tuza,copa,Yes,No,No,No
CA230347,C13752,Museo del Oro,Nariño (Colombia) ,tenencia a María Victoria Uribe,,ceramic ,Piartal,copa,Yes,Yes,No,No
CA230348,C04870,Museo del Oro,Colombia, compra a Camilo Orbes,,ceramic ,Capulí,copa,Yes,Yes,No,No
CA230349,C05539,Museo del Oro,Nariño (Colombia) ,Compra a Ángel Peña,,ceramic ,Capulí,copa,Yes,Yes,No,No
CA230350,C09908,Museo del Oro,Nariño (Colombia) ,Compra a Guillermo Cano Mejía,,ceramic ,Capulí,copa,Yes,Yes,No,No
CA230352,C03989,Museo del Oro,"Pupiales (Colombia, Nariño) ",compra a Camilo Orbes,,ceramic ,Piartal,copa,Yes,Yes,No,No
CA230353,C06216,Museo del Oro,"Pupiales (Colombia, Nariño)",Compra a Ángel Peña,,ceramic ,Tuza,copa,Yes,Yes,No,No
CA230354,C05511,Museo del Oro,Nariño (Colombia) ,Compra a Ángel Peña,,ceramic ,Tuza,copa,Yes,Yes,No,No
CA230355,459,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T10,ceramic ,Capulí,copa,Yes,Yes,No,No
CA230356,30,Union del Sur,Site 8 - Catambuco,,,ceramic ,Piartal,copa,Yes,Yes,No,No
CA230357,22,Union del Sur,Site 8 - Catambuco,,,ceramic ,Piartal,copa,Yes,Yes,No,No
CA230358,462,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T10,ceramic ,Capulí,copa,Yes,Yes,No,No
CA230359,457,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T10,ceramic ,Capulí,copa,Yes,Yes,No,No
CA230360,28,Union del Sur,Site 8 - Catambuco,,,ceramic ,Piartal,copa,Yes,Yes,No,No
