sample_id,no_of_analyses,area_of_analysis,laboratory,sample_date,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,MnO,Fe2O3,S,Ni,Zn,Rb,Sr,Y,Zr,Nb,Pb
,,,,,%,%,%,%,%,%,%,%,%,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
CA230168,5,fabric,University of Cambridge,03/08/2023,,,14.48,66.35,,2.07,2.6,0.68,0.09,3.6,,17,59,67,769,10,190,18,16
CA230169,3,red,University of Cambridge,03/08/2023,,1.7,14.44,52.86,,0.63,1.54,1.44,0.06,8.29,,56,47,,659,12,201,19,
CA230169,5,fabric,University of Cambridge,03/08/2023,,,17.46,69.64,,1.56,2.4,0.65,0.05,3.24,,,49,56,754,9,191,17,16
CA230170,3,red,University of Cambridge,03/08/2023,,,12.91,45.11,,0.65,1.22,1.43,0.07,9.42,,102,96,,452,10,197,18,
CA230170,5,fabric,University of Cambridge,03/08/2023,,,18.09,59.92,,1.14,1.95,0.69,0.06,3.26,,,56,45,557,8,199,14,19
CA230170,3,cream,University of Cambridge,03/08/2023,,1.7,14.78,65.48,,2.44,2.69,0.74,0.04,2.74,,,67,,661,7,179,21,15
CA230171,3,cream,University of Cambridge,03/08/2023,,,14.65,71.36,,1.74,2.05,0.71,0.04,2.86,,,35,,625,8,160,19,
CA230171,3,black ,University of Cambridge,03/08/2023,,,10.26,54.09,,1.37,1.72,0.61,0.34,4.28,,,49,,612,8,173,18,
CA230171,5,fabric,University of Cambridge,03/08/2023,,,17.44,62.54,,1.46,1.82,0.62,0.06,3.57,,,68,50,585,8,162,17,19
CA230172,3,black ,University of Cambridge,03/08/2023,,1.94,8.31,33.73,,0.57,1.04,0.33,1.44,8.77,,32,47,,666,10,155,13,
CA230172,5,fabric,University of Cambridge,03/08/2023,,,18.17,61.74,,1.36,1.8,0.68,0.07,3.49,,,52,48,674,9,150,17,17
CA230172,3,red (ext),University of Cambridge,03/08/2023,,,17.6,62.54,,1.3,2.16,0.77,0.07,3.51,,,48,,744,8,154,15,17
CA230172,3,cream,University of Cambridge,03/08/2023,,,15.96,75.59,,1.53,2.31,0.79,0.05,2.93,,,37,,753,6,165,16,16
CA230172,3,red,University of Cambridge,03/08/2023,,,10.68,51.18,,0.9,1.5,0.6,0.07,5.27,,,46,,687,8,160,16,16
CA230173,5,fabric,University of Cambridge,03/08/2023,,,19.26,61.23,,1.22,1.98,0.75,0.08,5.25,,,70,48,443,10,195,16,17
CA230174,5,fabric,University of Cambridge,03/08/2023,,1.78,16.88,54.22,,1.24,2.92,0.64,0.1,3.68,,17,93,47,547,11,203,17,19
CA230175,5,fabric,University of Cambridge,03/08/2023,,1.69,23.85,59.02,,1.27,1.71,0.9,0.05,3.21,,17,68,50,573,10,185,13,21
CA230176,3,cream,University of Cambridge,03/08/2023,,,17.4,62.86,,1.2,1.86,0.84,0.03,3.13,,,39,,376,12,170,12,
CA230176,3,red,University of Cambridge,03/08/2023,,,17.49,56.25,,1.05,1.72,1.2,0.03,4.07,,,43,,399,9,189,11,
CA230176,5,fabric,University of Cambridge,03/08/2023,,,21.8,57.41,,1.07,1.63,0.84,0.03,3.25,,,59,37,350,7,155,9,21
CA230176,3,black ,University of Cambridge,03/08/2023,,,17.25,64.41,,1.35,2.39,0.97,0.04,3.58,,,37,,396,10,208,16,16
CA230286,5,fabric,University of Cambridge,22/08/2023,,,19.73,55.68,,1.3,2.27,0.79,0.13,5.65,,17,87,54,717,12,209,17,22
CA230287,5,fabric,University of Cambridge,22/08/2023,,,17.49,56,,1.5,1.48,0.75,0.05,4.89,,,74,48,556,12,146,11,16
CA230288,5,fabric,University of Cambridge,18/05/2023,,,12.48,46.55,,1.29,1.59,0.63,0.05,3.26,,,42,49,715,10,184,16,17
CA230289,5,fabric,University of Cambridge,18/05/2023,,1.72,21.97,65.07,,1.28,1.6,0.89,0.16,5.99,,22,89,55,664,10,199,17,20
CA230290,5,fabric,University of Cambridge,22/08/2023,,,20.39,57.74,,1.39,1.65,0.7,0.04,3.17,,,59,47,671,8,164,16,20
CA230291,5,fabric,University of Cambridge,18/05/2023,,1.78,19.72,54.93,,0.85,1.31,1.12,0.37,7.67,,18,62,51,440,15,230,15,18
CA230292,5,fabric,University of Cambridge,18/05/2023,,,13.68,64.8,,1.54,2.49,0.94,0.04,2.71,,,35,46,494,10,218,20,17
CA230293,5,fabric,University of Cambridge,22/08/2023,,1.67,16.87,52.35,,1.27,1.86,0.62,0.08,8.19,,40,93,58,613,27,147,9,15
CA230294,5,fabric,University of Cambridge,22/08/2023,,,20.71,56.99,,1.16,1.77,0.8,0.06,5.85,,20,63,59,558,8,166,10,17
