sample_id,no_of_analyses,area_of_analysis,laboratory,sample_date,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,MnO,Fe2O3,S,Ni,Zn,Rb,Sr,Y,Zr,Nb,Pb
,,,,,%,%,%,%,%,%,%,%,%,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
CA230455,5,fabric,University of Cambridge,28/07/2023,,1.67,16.11,54.85,,0.99,1.75,0.78,0.06,5.01,,,49,54,522,9,208,18,16
CA230456,3,black ,University of Cambridge,28/07/2023,,,20.42,46.12,,0.76,1.28,0.87,0.04,6.3,,,49,,440,7,160,12,
CA230456,3,red,University of Cambridge,28/07/2023,,,19.56,47.28,,0.77,1.15,1.01,0.05,6.77,,,47,,390,8,186,11,
CA230456,5,fabric,University of Cambridge,28/07/2023,,,16.43,54.33,,0.89,1.51,0.72,0.04,5.01,,,47,55,401,7,199,,16
CA230457,3,red,University of Cambridge,28/07/2023,,,20.94,57.95,,1.43,1.63,1.14,0.13,5.78,,15,63,,484,11,190,10,
CA230457,3,black ,University of Cambridge,28/07/2023,,,20.31,54.42,,1.34,2.12,1,0.2,6.39,,25,74,,471,9,213,11,19
CA230457,5,fabric,University of Cambridge,28/07/2023,,1.68,16.4,53.38,,1.05,1.88,0.77,0.11,5.85,,,84,61,531,8,212,11,17
CA230458,3,red,University of Cambridge,28/07/2023,,,17.29,51.31,,1.67,1.43,1.25,0.09,6.51,,22,57,,614,12,209,14,
CA230458,5,fabric,University of Cambridge,28/07/2023,,,16.66,53.54,,1.02,1.74,0.76,0.06,5.3,,,49,56,542,8,194,14,19
CA230458,3,black ,University of Cambridge,28/07/2023,,,15.97,50.91,,1.49,1.95,1.06,0.11,5.79,,34,69,,660,11,179,14,15
CA230459,3,black ,University of Cambridge,28/07/2023,,,21.47,45.81,,0.9,1.54,1.01,0.06,6.17,,,52,,459,9,188,16,
CA230459,5,fabric,University of Cambridge,28/07/2023,,,17.47,55.69,,0.94,1.75,0.84,0.05,5.2,,,55,53,451,8,227,15,
CA230459,3,red,University of Cambridge,28/07/2023,,,22.6,42.76,,0.83,1.18,0.92,0.05,6.38,,,49,,412,11,200,12,
CA230460,3,black ,University of Cambridge,28/07/2023,,1.79,20.17,52.63,,1.04,2.03,1.2,0.08,5.75,,30,67,,494,13,218,14,
CA230460,5,fabric,University of Cambridge,28/07/2023,,1.71,20.11,52.27,,1.04,1.96,0.72,0.34,5.81,,21,73,59,502,11,206,11,19
CA230460,3,red,University of Cambridge,28/07/2023,,1.86,18.4,56.05,,1.08,2.07,1.11,0.08,5.93,,15,65,,499,10,208,12,16
CA230461,5,fabric,University of Cambridge,28/07/2023,,,19.02,51.05,,1.03,1.86,0.72,0.1,5.97,,16,54,59,482,11,201,11,19
CA230461,3,black ,University of Cambridge,28/07/2023,,,22.62,54.01,,1.16,1.93,0.96,0.1,5.64,,15,56,,462,8,196,13,16
CA230461,3,red,University of Cambridge,28/07/2023,,1.74,21.09,53.87,,1.19,1.59,1.14,0.07,5.89,,15,52,,485,12,215,11,16
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
