Test Label,Date,sample,component,rep,Mg Concentration,Al Concentration,Si Concentration,P Concentration,S Concentration,K Concentration,Ca Concentration,Ti Concentration,V Concentration,Cr Concentration,Mn Concentration,Fe Concentration,Co Concentration,Ni Concentration,Cu Concentration,Zn Concentration,As Concentration,Se Concentration,Rb Concentration,Sr Concentration,Y Concentration,Zr Concentration,Nb Concentration,Mo Concentration,Ag Concentration,Cd Concentration,Sn Concentration,Sb Concentration,Ba Concentration,W Concentration,Au Concentration,Hg Concentration,Pb Concentration,Bi Concentration,Th Concentration,U Concentration,LE Concentration
1 [Col],06/06/2023,NIST 2711a,std,rep 1,15406,68395,261002,181,168,25265,23038,2921,78,48,656,29434,<LOD,27,710,378,150,7,119,268,31,281,18,23,40,105,49,125,1076,<LOD,<LOD,10,1378,24,<LOD,<LOD,728608
2 [Col],06/06/2023,NIST 2711a,std,rep 2,15196,68055,257114,177,246,25100,22126,3961,<LOD,39,742,29897,<LOD,33,712,387,135,<LOD,123,263,29,263,16,7,16,76,42,57,1067,<LOD,6,20,1359,<LOD,18,<LOD,731904
3 [Col],06/06/2023,NIST 2711a,std,rep 3,16362,68292,261493,85,245,24998,22349,3169,142,63,657,29356,148,42,699,383,74,4,124,262,29,306,24,<LOD,11,78,82,107,1201,<LOD,5,19,1407,33,<LOD,<LOD,727237
4 [Col],06/06/2023,NIST 2711a,std,rep 4,14584,68798,258313,243,221,25170,22990,3126,186,95,684,28880,<LOD,36,727,341,102,2,121,259,39,310,24,13,14,74,53,132,655,44,<LOD,22,1347,<LOD,22,<LOD,732344
5 [Col],06/06/2023,NIST 2711a,std,rep 5,16346,68521,262451,176,257,25769,22725,2834,<LOD,97,651,29052,122,21,718,398,145,3,120,257,32,294,13,4,39,89,76,140,1241,17,<LOD,14,1353,<LOD,11,4,726108
6 [Col],06/06/2023,NIST 679,std,rep 1,11618,90098,218211,<LOD,<LOD,23642,1554,5272,213,104,1353,91626,218,61,908,108,24,10,178,51,47,170,20,10,43,76,101,126,534,32,<LOD,<LOD,12,<LOD,<LOD,16,706587
7 [Col],06/06/2023,NIST 679,std,rep 2,10844,90719,217962,<LOD,<LOD,23408,1303,5395,240,129,1561,89718,470,41,911,101,19,6,186,45,45,157,20,13,19,50,<LOD,49,<LOD,<LOD,9,8,20,<LOD,30,<LOD,709596
8 [Col],06/06/2023,NIST 679,std,rep 3,11975,90447,217339,<LOD,<LOD,23538,1495,5457,158,78,1457,88786,385,56,952,132,17,6,192,54,36,154,19,14,19,27,26,71,504,17,<LOD,6,17,<LOD,20,<LOD,709443
9 [Col],06/06/2023,NIST 679,std,rep 4,11771,87623,213484,<LOD,<LOD,23108,1492,4604,139,31,1521,90073,195,81,999,108,28,6,196,44,45,166,20,9,31,<LOD,22,<LOD,606,<LOD,<LOD,7,4,<LOD,25,11,715442
10 [Col],06/06/2023,NIST 679,std,rep 5,12112,90489,217735,<LOD,<LOD,23431,1349,5363,138,107,1393,90512,268,55,900,109,21,2,194,53,43,154,17,12,35,30,59,90,1030,57,<LOD,8,16,<LOD,34,<LOD,707007
11 [Col],06/06/2023,SARM 69,std,rep 1,13709,76526,257506,327,<LOD,17075,14308,4872,89,202,922,50482,183,77,720,62,12,3,72,110,29,286,7,<LOD,18,15,35,72,1258,15,5,9,10,<LOD,11,<LOD,716059
12 [Col],06/06/2023,SARM 69,std,rep 2,13622,75672,256237,275,<LOD,17090,14055,4582,157,230,950,50338,184,82,717,70,6,2,73,106,30,258,<LOD,<LOD,32,26,42,74,808,<LOD,5,<LOD,15,23,<LOD,6,718977
13 [Col],06/06/2023,SARM 69,std,rep 3,13780,78657,263033,378,<LOD,17728,14219,4894,73,230,892,51263,81,60,695,72,5,2,76,108,35,295,8,8,14,18,39,102,1016,<LOD,8,13,22,<LOD,30,<LOD,708343
14 [Col],06/06/2023,SARM 69,std,rep 4,14013,77359,259477,380,<LOD,17389,13905,4856,278,235,900,51579,66,67,680,58,6,3,76,100,29,338,16,11,18,<LOD,29,68,1351,16,<LOD,5,17,<LOD,11,<LOD,712015
15 [Col],06/06/2023,SARM 69,std,rep 5,14286,77760,260453,313,<LOD,17061,13797,4280,145,197,979,50676,258,92,656,70,6,3,69,97,30,271,14,16,37,35,31,72,2076,<LOD,6,6,18,<LOD,12,7,711496
1 [Col],07/06/2023,NIST 2711a,std,rep 1,14252,68263,262212,119,130,25592,23173,3722,<LOD,59,781,29821,188,38,698,399,142,3,135,266,31,312,25,<LOD,28,81,30,122,889,<LOD,5,22,1438,<LOD,14,<LOD,727393
2 [Col],07/06/2023,NIST 2711a,std,rep 2,15171,68069,258473,196,152,24445,21616,3077,144,101,708,28677,<LOD,33,692,360,146,4,118,243,32,305,24,9,<LOD,68,44,44,1507,21,6,<LOD,1259,18,<LOD,10,733148
3 [Col],07/06/2023,NIST 2711a,std,rep 3,15056,69390,258678,223,170,25575,22951,3202,103,88,675,28611,63,31,734,378,115,<LOD,119,248,34,324,16,9,19,77,57,68,1134,<LOD,9,14,1350,<LOD,23,<LOD,730645
4 [Col],07/06/2023,NIST 2711a,std,rep 4,14898,69475,262233,81,123,25742,22588,3045,117,122,687,29967,66,28,716,411,133,4,122,271,24,296,24,7,23,104,33,74,662,<LOD,9,10,1382,<LOD,12,<LOD,726953
5 [Col],07/06/2023,NIST 2711a,std,rep 5,15312,68777,258201,202,202,25197,22394,3651,150,80,765,28090,140,36,707,402,128,3,119,260,34,349,16,17,20,56,40,84,1111,<LOD,11,9,1313,<LOD,13,<LOD,731690
6 [Col],07/06/2023,NIST 679,std,rep 1,10864,93377,222631,<LOD,<LOD,24106,1434,5696,218,121,1535,91622,236,45,844,117,20,10,187,51,42,163,18,10,32,43,58,52,698,18,<LOD,<LOD,14,<LOD,16,9,700035
7 [Col],07/06/2023,NIST 679,std,rep 2,12601,90330,217378,<LOD,<LOD,23658,1471,5320,118,87,1640,89016,241,53,925,135,31,8,185,49,33,159,28,26,<LOD,16,57,64,630,21,4,10,9,<LOD,15,<LOD,708503
8 [Col],07/06/2023,NIST 679,std,rep 3,10807,90790,218912,<LOD,<LOD,23302,1411,4882,177,92,1603,93207,<LOD,68,843,124,16,6,194,61,37,169,24,16,<LOD,21,33,73,1200,<LOD,5,12,15,<LOD,29,<LOD,705051
9 [Col],07/06/2023,NIST 679,std,rep 4,11346,87036,210294,<LOD,<LOD,22146,1382,5142,116,167,1368,82667,297,40,762,117,23,4,167,44,43,151,14,<LOD,50,68,42,40,617,<LOD,6,<LOD,9,41,<LOD,<LOD,726956
10 [Col],07/06/2023,NIST 679,std,rep 5,11895,90440,219276,<LOD,<LOD,23551,1400,4952,146,145,1733,93563,148,66,894,135,26,2,197,61,39,164,22,12,<LOD,<LOD,34,79,1423,30,<LOD,8,14,<LOD,12,<LOD,702574
11 [Col],07/06/2023,SARM 69,std,rep 1,13621,77075,261201,392,<LOD,17468,13843,4173,298,203,909,50482,70,48,653,51,11,3,73,96,28,347,16,6,16,33,58,60,470,72,<LOD,7,12,44,<LOD,8,713708
12 [Col],07/06/2023,SARM 69,std,rep 2,13424,76567,262417,275,<LOD,17404,13992,4667,95,227,978,51539,230,82,639,63,10,4,79,102,25,247,9,<LOD,<LOD,35,63,46,799,29,<LOD,6,14,<LOD,8,<LOD,711467
13 [Col],07/06/2023,SARM 69,std,rep 3,13145,78056,261324,323,<LOD,17660,14190,4728,132,250,1004,51741,182,49,667,59,8,7,79,94,30,272,9,8,27,14,60,96,1262,<LOD,4,<LOD,17,<LOD,<LOD,<LOD,710513
14 [Col],07/06/2023,SARM 69,std,rep 4,13194,78612,266546,328,<LOD,17039,14030,4593,136,275,952,50942,312,74,615,71,11,5,73,103,28,282,10,<LOD,23,47,70,34,605,30,<LOD,<LOD,16,<LOD,16,<LOD,707152
15 [Col],07/06/2023,SARM 69,std,rep 5,11923,78182,265931,366,<LOD,17292,14315,4276,173,262,985,51250,162,46,663,71,9,7,75,110,27,293,8,7,36,58,55,51,1531,<LOD,<LOD,6,15,<LOD,14,7,708323
2 [Col],08/06/2023,NIST 2711a,std,rep 1,14108,68765,261965,147,216,25611,22608,3145,85,38,655,28830,103,47,555,370,117,4,125,271,33,319,20,9,<LOD,76,74,98,1772,53,<LOD,6,1389,<LOD,9,5,728724
3 [Col],08/06/2023,NIST 2711a,std,rep 2,14786,67043,258900,193,199,25394,22975,3231,135,42,749,28990,204,26,587,414,144,<LOD,124,249,31,314,20,5,23,59,37,37,1229,23,<LOD,<LOD,1416,<LOD,29,<LOD,732041
4 [Col],08/06/2023,NIST 2711a,std,rep 3,15057,67779,261198,200,149,24613,22718,3586,119,143,654,29332,82,24,543,406,123,3,115,259,32,291,21,16,35,88,43,63,1029,28,<LOD,8,1310,<LOD,25,<LOD,729430
5 [Col],08/06/2023,NIST 2711a,std,rep 4,15533,67327,255281,205,184,24654,22468,3363,75,126,561,28655,<LOD,30,568,380,125,3,115,258,32,287,21,9,22,95,70,85,1184,48,<LOD,8,1296,26,<LOD,<LOD,735741
6 [Col],08/06/2023,NIST 2711a,std,rep 5,15071,68115,257607,184,161,24845,22090,3083,202,153,643,28079,137,43,546,404,149,3,116,245,33,315,17,10,<LOD,71,48,91,629,17,<LOD,8,1315,<LOD,17,<LOD,734761
7 [Col],08/06/2023,NIST 679,std,rep 1,9769,92172,219291,<LOD,<LOD,23535,1384,5409,220,<LOD,1603,89537,165,52,593,100,22,2,179,41,31,156,16,12,32,58,60,88,634,58,<LOD,<LOD,12,<LOD,18,<LOD,708506
8 [Col],08/06/2023,NIST 679,std,rep 2,11661,94095,222594,<LOD,<LOD,24338,1427,5180,210,94,1676,91289,265,64,624,126,24,5,194,49,33,159,23,11,28,48,62,94,<LOD,62,<LOD,<LOD,17,<LOD,41,<LOD,699973
9 [Col],08/06/2023,NIST 679,std,rep 3,12091,94632,224001,<LOD,<LOD,24182,1487,5177,143,109,1733,92700,240,63,640,121,24,6,192,48,32,156,24,<LOD,<LOD,15,53,71,<LOD,<LOD,6,<LOD,4,<LOD,10,5,696609
10 [Col],08/06/2023,NIST 679,std,rep 4,11492,92810,222277,<LOD,<LOD,23724,1308,5678,127,102,1565,91513,326,71,629,130,18,5,182,51,44,176,19,15,47,41,60,79,854,40,<LOD,<LOD,18,<LOD,24,<LOD,700429
11 [Col],08/06/2023,NIST 679,std,rep 5,12289,91531,220863,<LOD,<LOD,23832,1357,5010,160,118,1557,91485,183,50,598,118,23,7,198,53,39,163,11,14,40,68,60,164,605,<LOD,<LOD,7,12,<LOD,36,<LOD,702800
12 [Col],08/06/2023,SARM 69,std,rep 1,14791,78606,265484,425,<LOD,17717,13876,4504,314,199,1070,51427,235,51,518,58,5,2,77,106,33,321,12,7,18,25,55,80,878,39,<LOD,<LOD,15,<LOD,9,3,705151
13 [Col],08/06/2023,SARM 69,std,rep 2,14941,76553,259836,330,<LOD,17282,13434,4876,212,245,826,51466,179,59,536,54,17,2,77,108,24,241,8,6,29,50,46,<LOD,857,25,<LOD,<LOD,7,<LOD,21,5,712479
14 [Col],08/06/2023,SARM 69,std,rep 3,13904,79413,267378,365,<LOD,17716,14706,4364,196,207,922,51355,242,60,534,65,6,7,77,95,32,314,12,9,14,35,66,64,1029,<LOD,4,7,14,<LOD,15,<LOD,703670
15 [Col],08/06/2023,SARM 69,std,rep 4,12686,76793,264770,344,<LOD,17444,14059,4701,309,176,1181,52423,<LOD,53,536,71,7,2,82,113,28,294,7,15,<LOD,73,58,72,806,<LOD,8,7,15,16,<LOD,<LOD,708787
16 [Col],08/06/2023,SARM 69,std,rep 5,13693,78361,263921,369,<LOD,17205,13842,4304,198,147,889,50413,<LOD,46,492,78,4,9,78,102,27,254,8,6,32,46,66,47,622,<LOD,<LOD,10,25,<LOD,<LOD,<LOD,710613
1 [Col],09/06/2023,NIST 2711a,std,rep 1,13434,67975,256138,203,267,24449,22510,3056,92,74,645,27423,<LOD,24,595,384,145,<LOD,116,244,29,277,21,9,21,87,51,83,1697,<LOD,7,13,1296,<LOD,13,8,737954
2 [Col],09/06/2023,NIST 2711a,std,rep 2,15238,68918,259395,140,114,25333,22224,3895,113,33,692,28961,65,30,555,387,111,6,123,277,43,290,14,6,19,82,50,48,975,<LOD,6,10,1353,<LOD,8,<LOD,730173
