Sample,Collection,Ware,tomb,component,MgO,Al2O3,SiO2,K2O,CaO,Fe2O3,Mg,Al,Si,K,Ca,Fe,Ti,Mn,Ni,Zn,Rb,Sr,Y,Zr,Nb,Pb
CA230349,MO,Capulí,,black ,,,,,,,<LOD,108488,190558,7633,7122,42740,6404,1492,27,84,,474,12,233,11,26
CA230349,MO,Capulí,,fabric,1.8,18.77,45.87,1.03,1.46,5.24,10838,99348,214408,8520,10443,36641,4272,3343,45,121,54,505,10,157,12,23
CA230349,MO,Capulí,,red,,,,,,,10629,107577,193598,8319,6675,44153,6426,1061,19,59,,474,13,215,12,19
CA230350,MO,Capuli,,black ,,,,,,,10070,111445,203522,11191,8655,65615,8876,574,26,91,,551,17,259,21,17
CA230350,MO,Capuli,,fabric,1.96,17.02,51.54,1.66,2.29,5.34,11809,90086,240897,13771,16386,37383,4632,645,20,73,53,575,18,237,18,23
CA230350,MO,Capuli,,red,,,,,,,10794,117114,213501,11044,10369,58699,8078,648,29,87,,579,15,246,17,17
CA230351,MO,Ceramic Mask,,black ,,,,,,,<LOD,83541,197022,11656,11849,35946,5199,265,19,40,,446,9,223,23,25
CA230351,MO,Ceramic Mask,,fabric,<LOD,11.24,71.29,0.98,2.04,2.33,<LOD,59467,333214,8162,14583,16286,7240,254,17,20,35,432,9,261,26,23
CA230352,MO,Piartal,,black ,,,,,,,<LOD,108971,229970,8756,8143,23101,5266,305,21,60,,425,10,149,11,19
CA230352,MO,Piartal,,cream,,,,,,,<LOD,101402,244309,9053,8408,24218,5080,303,24,50,,434,9,166,14,18
CA230352,MO,Piartal - 1,,fabric,<LOD,15.43,57.42,1.03,2.04,3.34,<LOD,81652,268384,8532,14564,23393,5381,310,<LOD,36,41,502,9,178,14,19
CA230352,MO,Piartal,,red,,,,,,,11010,90427,221475,9726,12833,27477,5160,352,29,65,,483,14,147,17,18
CA230353,MO,Tuza,,black ,,,,,,,<LOD,63432,174553,5798,5637,53460,3129,2169,16,53,,690,10,179,17,15
CA230353,MO,Tuza,,fabric,1.78,13.22,53.7,1.4,1.97,2.87,10720,69960,251011,11624,14049,20040,3793,285,26,90,43,702,10,195,16,19
CA230353,MO,Tuza,,red,,,,,,,10932,80982,246417,12150,11298,31433,4511,311,13,46,,686,11,174,18,16
CA230354,MO,Tuza,,black ,,,,,,,<LOD,51911,174572,8300,10960,43956,2812,1130,9,42,,739,7,170,17,16
CA230354,MO,Tuza,,cream,,,,,,,<LOD,81241,248303,10456,14496,24375,4329,1045,30,52,,722,6,164,18,20
CA230354,MO,Tuza,,fabric,<LOD,14.76,62.49,1.73,2.19,2.94,<LOD,78105,292076,14368,15683,20534,4120,388,16,45,54,755,7,186,18,19
CA230354,MO,Tuza,,red,,,,,,,10753,94544,258983,13409,13220,24380,5266,648,11,35,,776,7,189,15,19
CA230355,Union del Sur - Site 137,Capulí,LS T10,black ,,,,,,,<LOD,112645,230332,9798,10499,44009,4897,688,25,52,,502,9,203,13,19
CA230355,Union del Sur - Site 137,Capulí,LS T10,fabric,1.78,17.75,49.51,1.06,1.88,5.8,10708,93964,231427,8773,13425,40591,4751,5197,64,131,40,498,10,187,15,18
CA230355,Union del Sur - Site 137,Capulí,LS T10,red,,,,,,,10261,113132,238467,9423,9985,45199,5623,678,32,54,,505,7,173,15,15
CA230356,Union del Sur - Site 8,Piartal,,black ,,,,,,,<LOD,87897,264543,10949,11459,21722,4462,505,14,38,,430,11,163,13,18
CA230356,Union del Sur - Site 8,Piartal - 1,,fabric,<LOD,20.77,50.39,1.21,1.33,3.34,<LOD,109944,235531,10017,9499,23387,5053,648,<LOD,43,42,432,11,172,13,19
CA230356,Union del Sur - Site 8,Piartal,,red,,,,,,,<LOD,81357,220574,8588,8402,33669,5822,361,9,36,,450,7,181,12,16
CA230357,Union del Sur - Site 8,Piartal,,black ,,,,,,,<LOD,86138,277188,12081,13901,19281,4931,455,11,49,,483,14,147,11,13
CA230357,Union del Sur - Site 8,Piartal - 2,,fabric,<LOD,11.83,61.33,1.38,1.71,4.15,<LOD,62621,286694,11490,12235,29015,5978,996,23,51,42,514,11,216,20,25
CA230357,Union del Sur - Site 8,Piartal,,red,,,,,,,10172,75199,218926,8435,8443,44214,6467,356,9,42,,463,12,163,12,14
CA230358,Union del Sur - Site 137,Capulí,LS T10,black ,,,,,,,10085,112137,223405,8483,13096,39327,5596,826,19,68,,605,11,223,17,17
CA230358,Union del Sur - Site 137,Capulí,LS T10,fabric,1.77,16.46,54.53,1.12,1.78,4.99,10658,87098,254876,9265,12757,34898,3961,682,<LOD,65,55,588,10,192,18,21
CA230358,Union del Sur - Site 137,Capulí,LS T10,red,,,,,,,10977,99095,246435,8899,10689,42238,6534,1468,37,57,,560,10,225,13,15
CA230359,Union del Sur - Site 137,Capulí,LS T10,black ,,,,,,,<LOD,111786,212122,6427,3790,48006,7588,569,37,54,,385,8,203,12,13
CA230359,Union del Sur - Site 137,Capulí,LS T10,fabric,1.82,19.51,52.83,1.62,2.17,5.99,10975,103270,246945,13486,15492,41897,4553,4042,59,105,61,565,15,254,22,21
CA230359,Union del Sur - Site 137,Capulí,LS T10,red,,,,,,,<LOD,119005,219003,6552,5575,48377,6873,1407,37,53,,435,11,213,15,15
CA230360,Union del Sur - Site 8,Piartal,,black ,,,,,,,<LOD,82809,233377,11185,10843,32678,5596,557,<LOD,50,,425,10,165,12,21
CA230360,Union del Sur - Site 8,Piartal - 1,,fabric,1.66,17.67,53.62,1.6,2.12,3.61,10035,93532,250653,13320,15158,25258,5160,491,18,57,49,516,13,179,13,17
CA230360,Union del Sur - Site 8,Piartal,,red,,,,,,,<LOD,73053,179817,7008,4986,68262,6720,319,<LOD,47,,384,14,141,9,9
CA230361,Union del Sur - Site 8,Piartal,,black ,,,,,,,<LOD,82205,230127,9407,10006,22646,5196,229,12,28,,431,6,161,17,16
CA230361,Union del Sur - Site 8,Piartal,,cream,,,,,,,<LOD,90926,233248,8727,7686,24937,4820,205,8,33,,416,11,168,20,19
CA230361,Union del Sur - Site 8,Piartal - 1,,fabric,<LOD,19.21,52.25,1.06,1.3,3.32,<LOD,101661,244219,8762,9297,23221,4831,302,<LOD,36,37,458,13,178,16,15
CA230361,Union del Sur - Site 8,Piartal,,red,,,,,,,<LOD,99216,189947,5763,4652,38097,6482,215,16,31,,404,9,165,11,14
CA230362,Union del Sur - Site 8,Piartal,,black ,,,,,,,<LOD,82191,241834,10309,9333,28098,4525,252,7,27,,443,11,189,15,14
CA230362,Union del Sur - Site 8,Piartal,,cream,,,,,,,<LOD,81028,243352,11019,8694,29049,4493,274,16,26,,447,8,215,19,21
CA230362,Union del Sur - Site 8,Piartal - 1,,fabric,<LOD,15.74,53.92,1.22,1.55,3.97,<LOD,83310,252051,10087,11050,27736,4399,334,<LOD,29,44,510,8,186,18,17
CA230362,Union del Sur - Site 8,Piartal,,red,,,,,,,<LOD,72865,195904,7074,6705,42081,5748,223,7,29,,436,11,200,15,14
CA230363,Union del Sur - Site 137,Capulí,LS T7,fabric,1.93,20.17,51.31,1.13,2.31,5.69,11655,106762,239822,9375,16482,39824,3879,2655,38,62,42,684,12,194,13,18
CA230363,Union del Sur - Site 137,Capulí,LS T7,red,,,,,,,12093,98867,234951,9381,10196,48479,6849,2351,44,61,,570,8,223,14,9
CA230364,Union del Sur - Site 8,Piartal,,black ,,,,,,,<LOD,81763,236275,10597,10627,30785,4288,653,21,47,,539,8,126,8,15
CA230364,Union del Sur - Site 8,Piartal,,cream,,,,,,,10269,77009,263287,12263,11535,30136,4354,381,22,48,,614,14,148,13,16
CA230364,Union del Sur - Site 8,Piartal - 1,,fabric,<LOD,20.64,44.98,1.31,1.31,3.85,<LOD,109234,210250,10904,9353,26955,3950,323,<LOD,39,47,535,9,136,16,19
CA230364,Union del Sur - Site 8,Piartal,,red,,,,,,,10064,83022,220410,11554,8966,37037,5916,669,11,43,,579,13,137,12,20
CA230365,Union del Sur - Site 137,Capulí,Ct7 T1,black ,,,,,,,11391,88902,199075,10048,8579,40683,6508,10262,112,82,,563,9,188,12,14
CA230365,Union del Sur - Site 137,Capulí,Ct7 T1,fabric,1.83,15.93,56.13,1.93,1.91,4.9,11018,84306,262357,16001,13686,34266,3970,1586,38,62,52,564,10,198,8,<LOD
CA230365,Union del Sur - Site 137,Capulí,Ct7 T1,red,,,,,,,10914,112111,251199,10287,9494,42560,7344,2872,57,69,,566,9,182,16,11
CA230366,Union del Sur - Site 137,Capulí,Ct7 T1,black ,,,,,,,11095,96863,250692,14417,10598,41150,7051,981,35,58,,548,11,179,9,11
CA230366,Union del Sur - Site 137,Capulí,Ct7 T1,fabric,1.94,15.91,58.13,1.33,2.05,5.17,11691,84198,271723,11026,14639,36151,4201,946,17,51,53,567,8,167,11,16
CA230366,Union del Sur - Site 137,Capulí,Ct7 T1,red,,,,,,,11325,102811,252553,12456,9180,44141,7586,1363,42,66,,559,12,314,9,14
CA230367,Union del Sur - Site 137,Capulí,Ct7 T1,fabric,1.95,16.98,58.36,1.41,2.33,4.72,11751,89861,272771,11695,16650,33033,4065,1294,20,71,56,676,11,190,15,19
CA230367,Union del Sur - Site 137,Capulí,Ct7 T1,red,,,,,,,12818,72014,249315,9498,11942,47895,6395,450,26,53,,701,10,210,15,12
CA230368,Union del Sur - Site 137,Capulí,Ct9 T1,fabric,2.03,14.34,64.46,1.5,1.95,5.29,12264,75881,301291,12491,13936,36989,5104,429,19,54,58,574,13,235,12,18
CA230368,Union del Sur - Site 137,Capulí,Ct9 T1,fugative black,,,,,,,10758,88940,231229,8602,10087,46996,6318,331,27,41,,482,9,172,13,20
CA230368,Union del Sur - Site 137,Capulí,Ct9 T1,red,,,,,,,12138,86781,256918,9478,12372,43618,5857,392,10,52,,509,10,206,11,15
CA230369,Union del Sur - Site 8,Piartal - 1,,fabric,1.66,15.72,40.14,1.04,1.26,5.41,9992,83190,187602,8618,8983,37847,3157,321,<LOD,43,38,495,13,156,13,19
CA230369,Union del Sur - Site 8,Piartal,,red,,,,,,,10232,71322,260831,11192,9444,34458,4934,248,<LOD,38,,467,10,150,15,21
CA230370,Union del Sur - Site 8,Piartal,,black ,,,,,,,<LOD,100928,265797,14868,11792,22206,4812,362,29,65,,561,11,155,17,18
CA230370,Union del Sur - Site 8,Piartal - 1,,fabric,1.66,19.53,49.46,1.17,1.54,3.81,10034,103349,231186,9682,11034,26666,4420,403,<LOD,49,47,548,13,169,19,23
CA230370,Union del Sur - Site 8,Piartal,,red,,,,,,,<LOD,84280,237039,8070,7520,44996,6919,275,15,83,,694,18,175,16,16
CA230372,Union del Sur - Site 137,Capulí,LS T1,black ,,,,,,,10759,73924,183366,7921,11029,38605,5034,17199,171,169,,603,20,169,10,14
CA230372,Union del Sur - Site 137,Capulí,LS T1,fabric,1.98,15.04,51.65,1.21,2.13,5.47,11960,79585,241436,10066,15192,38270,3986,323,<LOD,56,53,657,12,145,14,16
CA230372,Union del Sur - Site 137,Capulí,LS T1,red,,,,,,,11045,117124,241532,11316,11805,47512,6389,1081,32,82,,534,15,190,13,17
CA230373,Union del Sur - Site 137,Capulí,LS T1,black ,,,,,,,12141,90053,242852,10009,11227,43679,6696,500,16,47,,457,15,268,17,18
CA230373,Union del Sur - Site 137,Capulí,LS T1,fabric,1.88,16.65,57.76,1.38,2.79,4.85,11349,88118,269981,11450,19948,33939,4036,3892,39,55,49,938,22,149,8,17
CA230373,Union del Sur - Site 137,Capulí,LS T1,red,,,,,,,11400,83360,256393,11271,11587,41278,6460,344,14,55,,467,12,248,21,20
CA230374,Union del Sur - Site 137,Capulí,,fabric,1.89,16.74,59.86,1.65,1.83,5.11,11421,88574,279802,13721,13057,35714,5109,348,<LOD,47,64,503,12,258,18,22
CA230375,Union del Sur - Site 137,Capulí,M T2,black ,,,,,,,10204,101520,227116,10123,12715,37636,6080,329,19,40,,662,10,223,18,17
CA230375,Union del Sur - Site 137,Capulí,M T2,fabric,2.03,15.02,59.68,1.64,2.45,4.86,12262,79474,278971,13651,17541,33967,3605,485,21,54,57,761,15,221,17,16
CA230375,Union del Sur - Site 137,Capulí,M T2,red,,,,,,,11566,90363,252098,12391,14082,36246,6013,670,23,44,,734,11,257,19,22
CA230376,Union del Sur - Site 137,Capulí,,fabric,1.85,16.93,56.73,1.69,2.47,4.75,11162,89596,265180,14069,17664,33231,4193,461,20,50,51,767,12,246,21,25
CA230377,Union del Sur - Site 137,Capulí,LS T4,black ,,,,,,,<LOD,115136,213805,6881,9737,44934,6123,525,10,49,,432,8,190,13,20
CA230377,Union del Sur - Site 137,Capulí,LS T4,fabric,1.69,17.49,47.15,0.88,1.61,6.62,10186,92593,220382,7325,11497,46315,4033,477,20,51,42,517,11,202,11,15
CA230377,Union del Sur - Site 137,Capulí,LS T4,red,,,,,,,10815,94696,254799,8518,10390,42934,6230,651,22,69,,460,11,201,10,17
CA230378,Union del Sur - Site 137,Capulí,LS T4,black ,,,,,,,10681,106399,228944,11324,12513,45960,6003,2179,60,81,,546,9,210,16,26
CA230378,Union del Sur - Site 137,Capulí,LS T4,fabric,2.03,17.46,56.6,2.57,2.13,6.19,12263,92390,264567,21327,15193,43269,5314,1573,26,118,55,580,10,214,18,19
CA230378,Union del Sur - Site 137,Capulí,LS T4,red,,,,,,,11449,113323,245407,12756,11976,43529,5529,2135,56,62,,560,8,189,14,18
CA230379,Union del Sur - Site 137,Capulí,LS T3,black ,,,,,,,11593,78227,186719,9119,11540,44949,5096,11735,179,131,,562,12,166,9,11
CA230379,Union del Sur - Site 137,Capulí,LS T3,fabric,1.96,13.02,53.8,1.44,2.18,7.51,11820,68920,251464,11993,15564,52555,5596,645,24,64,55,705,13,175,12,15
CA230379,Union del Sur - Site 137,Capulí,LS T3,red,,,,,,,12570,96283,232608,8933,13549,51327,6410,1278,23,71,,656,14,156,9,13
CA230380,Union del Sur - Site 137,Capulí,LS T4,black ,,,,,,,10069,96408,186871,7161,9228,42591,5310,1645,36,58,,545,7,186,15,16
CA230380,Union del Sur - Site 137,Capulí,LS T4,fabric,1.91,17.8,56.39,1.95,2.06,6.61,11531,94200,263569,16219,14688,46229,4584,1871,26,96,56,671,11,247,15,24
CA230380,Union del Sur - Site 137,Capulí,LS T4,red,,,,,,,<LOD,111635,217659,7788,8819,41364,5787,474,19,50,,540,9,199,15,17
CA230381,Union del Sur - Site 137,Capulí,LS T10,black ,,,,,,,10163,90579,193469,7738,13514,40042,4847,9069,111,96,,683,13,174,14,16
CA230381,Union del Sur - Site 137,Capulí,LS T10,fabric,2.07,13.18,57.93,2.01,2.49,6.83,12492,69757,270778,16698,17810,47748,4718,537,21,86,67,834,17,206,14,20
CA230381,Union del Sur - Site 137,Capulí,LS T10,red,,,,,,,11220,103033,233491,8147,13764,47459,5474,1011,21,71,,640,10,200,9,17
CA230382,Union del Sur - Site 137,Capulí,LS T10,black ,,,,,,,11248,99155,256661,10565,14231,37596,4674,582,14,37,,552,10,230,14,23
CA230382,Union del Sur - Site 137,Capulí,LS T10,fabric,1.94,16.58,53.92,1.39,3.01,5.93,11677,87758,252058,11510,21494,41502,4334,397,28,63,60,1008,17,182,14,19
CA230382,Union del Sur - Site 137,Capulí,LS T10,red,,,,,,,10597,111224,245803,9236,12838,40318,4690,580,23,43,,530,7,242,13,18
CA230383,Union del Sur - Site 137,undecorated?,,fabric,1.84,14.13,57.68,1.31,2.03,6.35,11107,74805,269603,10899,14522,44392,4194,810,24,59,57,615,12,243,19,20
CA230384,Union del Sur - Site 137,Capulí,LS T10,black ,,,,,,,10648,102708,230989,11317,14061,38838,5042,4708,70,61,,594,9,200,17,16
CA230384,Union del Sur - Site 137,Capulí,LS T10,fabric,2.04,14.03,55.41,1.23,2.04,7.09,12318,74240,258979,10184,14596,49620,4554,621,26,72,48,584,10,215,18,19
CA230384,Union del Sur - Site 137,Capulí,LS T10,red,,,,,,,10173,104057,226764,9016,12073,42193,5795,627,23,36,,523,7,198,10,17
CA230386,Union del Sur - Site 137,Capulí,LS T1,black ,,,,,,,10139,99003,241481,9368,12786,39667,5954,1000,28,52,,624,8,219,18,18
CA230386,Union del Sur - Site 137,Capulí,LS T1,fabric,1.74,17.86,49.32,1.12,1.99,5.78,10491,94513,230558,9289,14207,40433,3704,1730,40,64,52,649,9,232,14,20
CA230386,Union del Sur - Site 137,Capulí,LS T1,red,,,,,,,10693,101713,248865,9353,11936,41588,5202,1802,37,54,,609,12,209,17,19
CA230387,Union del Sur - Site 137,Capulí,LS T5,black ,,,,,,,10827,87241,215342,7744,12318,43514,6584,302,12,39,,620,9,170,13,10
CA230387,Union del Sur - Site 137,Capulí,LS T5,fabric,1.97,13.97,60.27,1.48,2.37,4.9,11894,73947,281723,12324,16968,34237,4724,516,28,72,60,701,12,213,15,22
CA230387,Union del Sur - Site 137,Capulí,LS T5,red,,,,,,,11234,87123,226476,7488,11234,47898,6920,390,8,54,,612,10,207,11,14
CA230388,Union del Sur - Site 137,Capulí,LS T5,black ,,,,,,,10551,85915,213143,7947,12392,46266,5376,1102,24,41,,520,8,203,17,19
CA230388,Union del Sur - Site 137,Capulí,LS T5,fabric,2.02,13.3,56.79,1.25,2.28,6.39,12194,70414,265454,10394,16311,44676,5162,543,42,64,51,553,27,218,9,15
CA230388,Union del Sur - Site 137,Capulí,LS T5,red,,,,,,,11019,78709,224439,8224,11726,53621,6345,581,20,47,,515,12,191,15,16
CA230389,Union del Sur - Site 137,Capulí,LS T8,black ,,,,,,,10346,96770,243253,10629,12580,33247,4668,437,16,43,,454,11,187,15,11
CA230389,Union del Sur - Site 137,Capulí,LS T8,fabric,1.88,20.06,57.12,1.78,2.07,5.18,11334,106183,266976,14753,14819,36222,3939,1172,33,73,54,517,14,224,19,23
CA230389,Union del Sur - Site 137,Capulí,LS T8,red,,,,,,,10890,82474,276139,11968,13714,33617,5726,550,18,45,,580,14,191,15,18
CA230436,Union del Sur - Site 8,Piartal,,fabric,<LOD,18.85,54.93,1.25,1.43,3.13,<LOD,99773,256751,10409,10226,21918,4130,340,<LOD,33,41,520,8,154,15,19
CA230436,Union del Sur - Site 8,Piartal,,red,,,,,,,<LOD,86946,192919,10520,7847,35861,6727,372,14,39,,537,7,167,14,19
CA230437,Union del Sur - Site 8,Piartal,,fabric,<LOD,15.53,49.77,1.1,1.69,4.38,<LOD,82193,232659,9137,12107,30622,4471,412,<LOD,59,46,561,18,164,15,22
CA230438,Union del Sur - Site 8,Piartal,,fabric,<LOD,20.4,39.85,0.71,0.94,6.59,<LOD,107994,186249,5892,6698,46112,3973,325,<LOD,63,51,344,9,185,11,17
CA230438,Union del Sur - Site 8,Piartal,,fugative black,,,,,,,<LOD,104115,193291,7591,9905,40336,4320,316,14,60,,356,12,175,13,17
CA230438,Union del Sur - Site 8,Piartal,,red,,,,,,,<LOD,90979,236140,8568,9757,42425,4509,321,7,57,,371,11,236,11,14
CA230439,Union del Sur - Site 8,Piartal,,cream,,,,,,,<LOD,77698,298303,13142,11781,28533,4864,314,7,47,,489,11,138,12,17
CA230439,Union del Sur - Site 8,Piartal,,fabric,<LOD,19.48,54.71,1.19,1.51,4.15,<LOD,103081,255747,9868,10815,29034,4800,640,<LOD,64,44,532,9,158,13,17
CA230439,Union del Sur - Site 8,Piartal,,fugative black,,,,,,,<LOD,69867,289145,11751,13907,28024,4866,304,12,46,,503,11,157,16,18
CA230439,Union del Sur - Site 8,Piartal,,red,,,,,,,<LOD,68311,265216,11563,12058,29016,5208,291,10,69,,544,11,174,11,17
CA230440,Union del Sur - Site 8,Piartal,,cream,,,,,,,<LOD,62654,262935,9033,12916,23400,4904,328,8,40,,498,14,165,13,18
CA230440,Union del Sur - Site 8,Piartal,,fabric,<LOD,12.6,60.72,1.01,1.91,2.79,<LOD,66670,283839,8353,13661,19535,5570,280,<LOD,37,33,579,10,141,<LOD,23
CA230440,Union del Sur - Site 8,Piartal,,fugative black,,,,,,,<LOD,74585,249646,12488,11229,25496,4761,322,20,194,,475,12,131,9,51
CA230440,Union del Sur - Site 8,Piartal,,red,,,,,,,<LOD,91037,227030,9887,8220,33786,5277,262,11,69,,534,10,135,11,23
CA230441,Union del Sur - Site 137,Capulí,LS T1,fabric,<LOD,19,49.57,0.93,1.68,4.99,<LOD,100581,231691,7687,12022,34899,4025,644,21,60,52,565,9,176,10,<LOD
CA230441,Union del Sur - Site 137,Capulí,LS T1,fugative black,,,,,,,<LOD,112144,235226,7570,11586,36794,5528,462,11,49,,499,9,159,14,12
CA230441,Union del Sur - Site 137,Capulí,LS T1,red,,,,,,,10479,86558,235969,7707,11584,43401,7343,791,7,57,,546,8,190,11,14
CA230442,Union del Sur - Site 137,Capulí,LS T1,fabric,<LOD,15.11,53.97,1.05,1.83,4.95,<LOD,79955,252290,8745,13064,34614,4372,413,<LOD,62,55,584,8,168,11,19
CA230442,Union del Sur - Site 137,Capulí,LS T1,fugative black,,,,,,,<LOD,101559,249535,7785,14062,40610,5967,468,15,52,,583,8,207,9,17
CA230442,Union del Sur - Site 137,Capulí,LS T1,red,,,,,,,11502,81315,259599,8263,14126,45308,6397,426,20,59,,594,10,197,12,16
CA230443,Union del Sur - Site 137,Capulí,LS T1,fabric,1.85,15.85,58.73,1.06,1.93,4.86,11145,83864,274523,8777,13788,33987,4031,402,17,50,62,523,8,153,8,<LOD
CA230443,Union del Sur - Site 137,Capulí,LS T1,fugative black,,,,,,,<LOD,114896,192415,5827,9758,48702,6517,548,12,55,,458,10,167,12,12
CA230443,Union del Sur - Site 137,Capulí,LS T1,red,,,,,,,<LOD,103583,208039,7423,10574,52357,6313,534,30,139,,455,12,161,9,22
CA230444,Union del Sur - Site 137,Capulí,LS T2,fabric,<LOD,17.72,49.48,0.77,1.16,5.83,<LOD,93763,231285,6408,8293,40748,4657,630,<LOD,45,41,337,9,185,11,18
CA230444,Union del Sur - Site 137,Capulí,LS T2,fugative black,,,,,,,<LOD,116647,212498,5939,5735,44510,6863,1073,16,38,,360,9,173,13,19
CA230444,Union del Sur - Site 137,Capulí,LS T2,red,,,,,,,<LOD,111106,226331,5828,5369,44490,7017,385,9,39,,346,8,213,12,17
CA230445,Union del Sur - Site 137,Capulí,LS T2,fabric,<LOD,18.57,58.9,1.13,1.64,4.42,<LOD,98290,275338,9399,11715,30912,4020,538,<LOD,36,41,492,6,220,15,16
CA230445,Union del Sur - Site 137,Capulí,LS T2,fugative black,,,,,,,<LOD,108159,256241,11275,11142,37739,4747,389,12,49,,501,10,210,14,16
CA230445,Union del Sur - Site 137,Capulí,LS T2,red,,,,,,,<LOD,89693,265165,11070,11114,38559,5855,502,11,36,,501,10,200,12,18
CA230446,Union del Sur - Site 137,Capulí,LS T2,fabric,<LOD,16.97,53.76,0.9,1.04,5.57,<LOD,89796,251290,7510,7467,38958,4612,342,<LOD,65,74,296,7,163,10,26
CA230446,Union del Sur - Site 137,Capulí,LS T2,fugative black,,,,,,,<LOD,108650,251775,8844,6038,36419,4347,296,12,52,,288,6,156,10,14
CA230446,Union del Sur - Site 137,Capulí,LS T2,red,,,,,,,<LOD,108971,254174,8719,5328,39228,5916,378,19,55,,259,7,161,12,16
CA230447,Union del Sur - Site 137,Capulí,LS T2,fabric,<LOD,16.45,52.37,0.95,1.25,4.96,<LOD,87052,244776,7910,8901,34686,4286,381,<LOD,37,46,403,9,291,14,17
CA230447,Union del Sur - Site 137,Capulí,LS T2,fugative black,,,,,,,<LOD,118920,206098,6108,3793,45578,6945,398,12,42,,390,11,220,17,14
CA230447,Union del Sur - Site 137,Capulí,LS T2,red,,,,,,,<LOD,112573,242713,7700,4970,46622,7701,411,12,44,,386,10,232,14,22
CA230448,Union del Sur - Site 137,Capulí,LS T3,fabric,1.67,19.13,52.89,0.91,1.77,5.32,10077,101256,247230,7591,12631,37215,4297,745,18,53,46,477,8,187,14,<LOD
CA230448,Union del Sur - Site 137,Capulí,LS T3,fugative black,,,,,,,10475,114495,221302,7351,12372,40659,5228,3231,45,71,,476,9,193,12,17
CA230448,Union del Sur - Site 137,Capulí,LS T3,red,,,,,,,<LOD,116209,244585,7806,10394,43110,5154,1142,24,63,,449,8,185,14,15
CA230449,Union del Sur - Site 137,Capulí,LS T3,fabric,<LOD,20.48,53.47,1.05,1.71,5.11,<LOD,108410,249957,8749,12225,35752,4502,1110,21,65,48,500,9,202,16,21
CA230449,Union del Sur - Site 137,Capulí,LS T3,fugative black,,,,,,,<LOD,91356,181838,7286,11772,36235,4468,14078,140,118,,474,12,196,15,13
CA230449,Union del Sur - Site 137,Capulí,LS T3,red,,,,,,,<LOD,115123,235105,8297,10341,41861,6766,1667,22,64,,484,7,234,17,17
CA230450,Union del Sur - Site 137,Capulí,LS T4,fabric,<LOD,18.79,43.43,0.7,2.61,6.78,<LOD,99466,202994,5795,18643,47390,<LOD,2259,35,58,43,633,13,191,14,<LOD
CA230450,Union del Sur - Site 137,Capulí,LS T4,fugative black,,,,,,,10963,82322,246154,10951,16744,49772,5851,1284,51,108,,629,9,215,15,16
CA230450,Union del Sur - Site 137,Capulí,LS T4,red,,,,,,,11326,78621,277555,11803,16795,42531,5453,905,23,62,,767,11,224,15,15
CA230451,Union del Sur - Site 137,Capulí,LS T4,fabric,<LOD,18.64,60.35,0.98,1.8,5.88,<LOD,98661,282084,8117,12845,41140,4848,1070,25,72,53,514,9,212,15,21
CA230451,Union del Sur - Site 137,Capulí,LS T4,fugative black,,,,,,,<LOD,114608,230211,12405,11503,45574,6038,641,26,103,,512,8,193,17,15
CA230451,Union del Sur - Site 137,Capulí,LS T4,red,,,,,,,<LOD,111859,257168,12477,12755,41030,4890,716,10,106,,522,11,205,9,15
CA230452,Union del Sur - Site 137,Capulí,LS T5,fabric,<LOD,18.6,53.14,1.17,1.88,4.48,<LOD,98459,248394,9741,13406,31313,3795,373,17,61,48,562,14,194,12,<LOD
CA230452,Union del Sur - Site 137,Capulí,LS T5,fugative black,,,,,,,11080,93316,256299,10593,12513,39927,6254,463,8,61,,548,11,181,12,10
CA230452,Union del Sur - Site 137,Capulí,LS T5,red,,,,,,,11346,82708,247074,10175,13277,41458,6171,394,14,61,,561,13,184,12,12
CA230453,Union del Sur - Site 137,Capulí,LS T5,fabric,<LOD,18.44,51.66,0.77,1.15,5.55,<LOD,97621,241453,6351,8240,38841,4468,651,<LOD,39,38,328,9,195,12,<LOD
CA230453,Union del Sur - Site 137,Capulí,LS T5,fugative black,,,,,,,<LOD,119253,204102,5221,4035,44469,7656,396,15,35,,334,8,186,13,12
CA230453,Union del Sur - Site 137,Capulí,LS T5,red,,,,,,,<LOD,107127,213353,5658,6671,46160,6886,486,<LOD,33,,390,8,187,11,15
CA230454,Union del Sur - Site 137,Capulí,LS T6,fabric,<LOD,21.53,51.95,0.89,1.27,5.54,<LOD,113935,242825,7351,9111,38773,4493,852,23,59,33,417,10,202,11,16
CA230454,Union del Sur - Site 137,Capulí,LS T6,red,,,,,,,<LOD,84053,235702,9406,8893,44682,7300,441,18,50,,423,9,224,10,13
CA230455,Union del Sur - Site 137,Capulí,LS T6,fabric,1.67,16.11,54.85,0.99,1.75,5.01,10083,85267,256383,8251,12530,35075,4695,447,<LOD,49,54,522,9,208,18,16
CA230455,Union del Sur - Site 137,Capulí,LS T6,red,,,,,,,12000,71306,258347,8578,13559,65165,7825,711,13,72,,559,12,229,17,11
CA230456,Union del Sur - Site 137,Capulí,LS T7,fabric,<LOD,16.43,54.33,0.89,1.51,5.01,<LOD,86957,253968,7408,10806,35055,4293,327,<LOD,47,55,401,7,199,<LOD,16
CA230456,Union del Sur - Site 137,Capulí,LS T7,fugative black,,,,,,,<LOD,108070,215556,6318,9152,44081,5224,294,7,49,,440,7,160,12,13
