Sample,Collection,Ware,tomb,component,MgO,Al2O3,SiO2,K2O,CaO,Fe2O3,Mg,Al,Si,K,Ca,Fe,Ti,Mn,Ni,Zn,Rb,Sr,Y,Zr,Nb,Pb
CA230131,San Damián,Piartal,,cream,,,,,,,<LOD,66037,285776,9164,11308,33109,4670,320,9,49,,481,11,186,16,15
CA230131,San Damián,Piartal,,fabric,<LOD,17.39,61.87,1.04,1.74,3.18,<LOD,92049,289179,8666,12464,22270,4695,300,<LOD,32,48,475,8,184,16,<LOD
CA230131,San Damián,Piartal,,red,,,,,,,10313,80162,296463,8439,11052,34843,6478,382,8,33,,471,11,189,15,13
CA230132,San Damián,red slip,,fabric,1.67,18.32,61.03,1.21,1.73,2.45,10064,96962,285280,10064,12370,17157,4396,316,<LOD,35,50,457,6,186,18,19
CA230132,San Damián,red slip,,red,,,,,,,<LOD,77042,253138,6812,10149,32857,7073,266,7,34,,447,8,170,17,16
CA230133,San Damián,red slip,,black ,,,,,,,<LOD,75709,319954,8936,14386,21083,5111,311,<LOD,47,,465,6,188,13,13
CA230133,San Damián,red slip,,fabric,<LOD,19.37,59.17,1.01,1.81,2.79,<LOD,102504,276560,8412,12931,19543,4840,316,19,56,58,456,7,188,15,16
CA230133,San Damián,red slip,,red,,,,,,,<LOD,75391,272214,6263,11034,33796,7100,247,<LOD,43,,443,10,190,11,15
CA230134,San Damián,red slip,,fabric,1.67,19.99,61.36,1.04,1.82,2.74,10041,105816,286794,8627,13032,19147,6555,280,17,45,48,483,8,209,16,<LOD
CA230134,San Damián,red slip,,red,,,,,,,<LOD,79331,273033,6342,10247,33479,8310,221,8,34,,476,9,228,21,10
CA230135,San Damián,red slip,,fabric,<LOD,19.81,65.18,1.25,1.43,2.01,<LOD,104844,304663,10413,10214,14036,5374,264,<LOD,47,46,408,6,183,16,17
CA230135,San Damián,red slip,,red,,,,,,,<LOD,95876,291573,10717,9481,18003,6487,285,<LOD,41,,407,6,179,17,16
CA230136,San Damián,Piartal,,black ,,,,,,,10445,78430,323120,10698,16978,23910,5861,329,10,34,,530,8,209,19,16
CA230136,San Damián,Piartal,,cream,,,,,,,10328,81661,322077,10455,16974,23283,5347,290,<LOD,37,,547,6,210,19,15
CA230136,San Damián,Piartal,,fabric,<LOD,21.6,61.12,1.04,1.84,3,<LOD,114306,285695,8630,13170,21007,4553,327,17,39,52,524,6,201,14,16
CA230137,San Damián,Piartal? ,,black ,,,,,,,<LOD,77870,296315,10022,13837,17248,4987,291,17,29,,504,8,177,14,14
CA230137,San Damián,Piartal? ,,fabric,<LOD,18.91,66.18,1.24,1.9,1.86,<LOD,100102,309329,10335,13566,13022,4892,340,<LOD,37,48,507,8,192,15,19
CA230137,San Damián,Piartal? ,,red,,,,,,,<LOD,85100,306351,10339,12778,15854,5679,294,12,38,,492,8,171,12,23
CA230138,San Damián,red slip,,fabric,<LOD,21.52,62.91,1,2.07,1.77,<LOD,113912,294057,8303,14818,12347,4802,222,<LOD,45,46,537,9,155,<LOD,<LOD
CA230138,San Damián,red slip,,red,,,,,,,10347,80493,290835,7439,14145,24598,6898,223,<LOD,37,,529,10,141,7,11
CA230139,San Damián,Piartal ,,black ,,,,,,,10205,71533,315566,11451,14705,23711,4897,346,8,32,,576,8,215,17,17
CA230139,San Damián,Piartal ,,cream,,,,,,,10445,71204,324484,11210,15564,22143,4746,320,8,39,,581,9,200,16,14
